keys,en,es,pl,de,ru,uk,zh_CN,zh_TW
MESSAGE_PLAYER_WINS_MATCH,%s WINS THE MATCH!,%s GANA LA PARTIDA!,,%s GEWINNT DIESES MATCH!,%s ВЫИГРАЛ ЭТОТ МАТЧ!,%s ВИГРАЄ МАТЧ!,%s 赢得了比赛!,%s 贏得了這場比賽！
MESSAGE_PLAYER_WINS_ROUND,%s wins this round!,%s gana esta ronda!,,%s GEWINNT DIESE RUNDE!,%s победил в этом раунде!,%s виграє цей раунд!,%s 这一轮获得了胜利！,%s 贏得了這回合！
MESSAGE_SESSION_EXPIRED,Session expired! Reconnecting...,¡Sesión caducada! Reconectando...,,Sitzung abgelaufen! Neu verbinden …,Сессия истекла! Повторное подключение…,Сеанс закінчився! Перепідключення...,会话已过期！正在重新连接......,已過期！重新連線…
MESSAGE_SESSION_EXPIRED_STEAM,Session expired! Reconnecting via Steam...,¡Sesión caducada! Reconectando vía Steam...,,Sitzung abgelaufen! Neu verbinden über Steam …,Сессия истекла! Повторное подключение через Steam…,Сеанс закінчився! Повторне підключення через Steam...,会话已过期！正在通过Steam重新连接......,已過期！透過Steam重新連線…
MESSAGE_SESSION_LOGGING_IN_STEAM,Logging in via Steam...,Conectando vía Steam...,,Anmelden über Steam …,Вход через Steam…,Вхід через Steam...,正在通过Steam登录......,透過Stream登入
MESSAGE_SETUP_CLIENT,The host is configuring the match...,El anfitrión está configurando la partida...,,Der Host konfiguriert das Match …,Хост настраивает матч…,Господар налаштовує матч...,房主正在设置比赛......,主人正在安排對戰…
MESSAGE_SETUP_HOST,You're the host! How you wanna do this?,¡Tú eres el anfitrión! ¿Cómo quieres hacer esto?,,Du bist der Host! Wie möchtest du das machen?,Ты — хост! Как ты хочешь это сделать?,Ти господар! Як ти хочеш це зробити?,您是房主！您想怎么玩？,你是主人！你想怎麼做呢？
MESSAGE_SYNCHRONIZATION_LOST,Synchronization lost,Sincronización perdida,,Synchronisation verloren,Синхронизация потеряна,Синхронізація втрачена,同步丢失,同步化遺失
MESSAGE_TEAM_NEEDS_PLAYERS,Each team must have at least 1 player!,¡Cada equipo debe tener al menos 1 jugador!,,Jedes Team muss mindestens einen Spieler haben!,В каждой команде должен быть хотя бы 1 игрок!,У кожній команді має бути не менше 1 гравця!,每支队伍至少要有一位玩家！,每一隊至少要有一名玩家！
MESSAGE_USERNAME_REQUIRED,Must provide username,Debes proveer un nombre de usuario,,Benutzername erforderlich,Нужно указать имя пользователя,Необхідно вказати ім'я користувача,必须提供用户名,必須提供使用者名稱
MESSAGE_USERNAME_TAKEN,Username already taken,Nombre de usuario ya ocupado,,Benutzername bereits vergeben,Имя пользователя уже занято,Ім'я користувача вже взято,用户名已被占用,使用者名稱已被使用
MODE_DESCRIPTION_BATTLE_ROYALE,The last tank standing wins the round.,El último tanque en pie gana la ronda.,,Der letzte verbliebene Panzer gewinnt die Runde.,Последний оставшийся танк побеждает в раунде.,Останній стоячий танк перемагає в раунді.,最后存活的坦克获得本轮的胜利。,最後一個還活著的坦克獲勝。
MODE_DESCRIPTION_DEATHMATCH,The tank with the most kills wins.,El tanque con más muertes gana.,,Der Panzer mit den meisten Kills gewinnt.,Побеждает танк с наибольшим количеством убийств.,Перемагає танк з найбільшою кількістю знищень суперника.,击杀数最高的坦克获胜。,殺敵最多的坦克獲勝。
MODE_DESCRIPTION_FOOTBALL,Carry the ball to the goal to score points.,Lleva el balón a la portería para conseguir puntos.,,"Trage den Ball ins Tor, um zu punkten.","Принеси мяч к воротам, чтобы набрать очки.","Піднесіть м'яч до воріт, щоб набрати очки.",将球带到球门得分。,帶著球到球門以得分。
MODE_NAME_BATTLE_ROYALE,Battle Royale,Battle Royale,,Battle Royale,Королевская битва,Королівська битва,大逃杀,大逃殺
MODE_NAME_DEATHMATCH,Deathmatch,Partida a muerte,,Deathmatch,Смертельная схватка,Смертельний матч,死亡比赛,死鬥
MODE_NAME_FOOTBALL,Football,Fútbol,,Fußball,Футбол,Футбол,足球,橄欖球
NETWORK_RELAY_OPTION_AUTO,Auto,Auto,,Automatisch,Авто,Автоматичне,自动,自動
NETWORK_RELAY_OPTION_DISABLED,Disabled,Desactivado,,Deaktiviert,Отключено,Вимкнуто,禁用,關閉
NETWORK_RELAY_OPTION_FALLBACK_AUTO,Fallback (Auto),Retroceso (Auto),,Fallback (automatisch),Резервный (авто),Резерв (авто),回退（自动）,備用（自動）
NETWORK_RELAY_OPTION_FALLBACK_FORCED,Fallback,Retroceso (Auto),,Fallback,Резервный,Резерв,回退,備用
NETWORK_RELAY_OPTION_FORCED,Forced,Forzado,,Erzwungen,Принудительно,Примусове,强制,強制
ONLINE_MATCH_ERROR_CLIENT_JOIN_ERROR,Client not allowed to join,Cliente no permitido para unirse,,Client darf nicht beitreten,Клиент не может присоединиться,Клієнту не дозволяється приєднатися,客户机被禁止加入,客人不被允許加入
ONLINE_MATCH_ERROR_CLIENT_VERSION_ERROR,Client version doesn't match host,La versión del cliente no coincide con el host,,Client-Version stimmt nicht mit Host überein,Версия клиента не соответствует версии хоста,Клієнтська версія не відповідає хосту,客户机版本与房主的不匹配,客人的版本和主人不同
ONLINE_MATCH_ERROR_JOIN_MATCH_FAILED,Unable to join match,Imposible unirse a la partida,,Match-Beitritt nicht möglich,Не удалось присоединиться к матчу,Не вдається приєднатися до матчу,无法加入比赛,無法參與對戰
ONLINE_MATCH_ERROR_MATCH_CREATE_FAILED,Failed to create match,No se ha podido crear la partida,,Match-Erstellung fehlgeschlagen,Не удалось создать матч,Не вдалося створити матч,创建比赛失败,建立對戰失敗
ONLINE_MATCH_ERROR_MATCH_HAS_ALREADY_BEGUN,Sorry! The match has already begun.,¡Lo siento! La partida ya empezó.,,Leider hat das Match bereits begonnen.,Извини! Матч уже начался.,Вибач! Матч вже розпочався.,抱歉！比赛已经开始了。,抱歉！對戰已經開始了。
ONLINE_MATCH_ERROR_MATCH_IS_FULL,Sorry! The match is full.,¡Lo siento! La partida está completa.,,Leider ist das Match voll.,Извини! В матче нет места.,Вибач! Матч заповнений.,抱歉！比赛已经满员。,抱歉！對戰已經滿人了。
ONLINE_MATCH_ERROR_MATCHMAKER_ERROR,Matchmaker error,Error de emparejamiento,,Matchmaker-Fehler,Ошибка поиска матчей,Помилка матчмейкінгу,匹配错误,配對安排錯誤
ONLINE_MATCH_ERROR_START_MATCHMAKING_FAILED,Unable to join match making pool,Imposible unirse al grupo de emparejamiento,,Beitritt zum Matchmaking-Pool nicht möglich,Не удалось присоединиться к пулу подбора игроков,Не вдається приєднатися до пулу створення матчів,无法加入配对池,無法加入配對池
ONLINE_MATCH_ERROR_WEBSOCKET_CONNECTION_ERROR,WebSocket connection error,Error de conexión WebSocket,,WebSocket-Verbindungsfehler,Ошибка подключения через веб-сокет,Помилка з'єднання WebSocket,WebSocket连接错误,WebSoclet 連線錯誤
OPTION_10_SECOND,10 sec,10 seg,,10 s,10 сек.,10 сек.,10秒,10 秒
OPTION_20_SECOND,20 sec,20 seg,,20 s,20 сек.,20 сек.,20秒,20 秒
OPTION_30_SECOND,30 sec,30 seg,,30 s,30 сек.,30 сек.,30秒,30 秒
OPTION_40_SECOND,40 sec,40 seg,,40 s,40 сек.,40 сек.,40秒,40 秒
OPTION_50_SECOND,50 sec,50 seg,,50 s,50 сек.,50 сек.,50秒,50 秒
OPTION_60_SECOND,60 sec,60 seg,,60 s,60 сек.,60 сек.,60秒,60 秒
OPTION_1_MINUTE,1 min,2 min,,1 min,1 мин.,1 хв.,1分钟,1 分鐘
OPTION_2_MINUTE,2 min,3 min,,2 min,2 мин.,2 хв.,2分钟,2 分鐘
OPTION_3_MINUTE,3 min,4 min,,3 min,3 мин.,3 хв.,3分钟,3 分鐘
OPTION_4_MINUTE,4 min,5 min,,4 min,4 мин.,4 хв.,4分钟,4 分鐘
OPTION_5_MINUTE,5 min,6 min,,5 min,5 мин.,5 хв.,5分钟,5 分鐘
OPTION_6_MINUTE,6 min,7 min,,6 min,6 мин.,6 хв.,6分钟,6 分鐘
OPTION_7_MINUTE,7 min,8 min,,7 min,7 мин.,7 хв.,7分钟,7 分鐘
OPTION_8_MINUTE,8 min,9 min,,8 min,8 мин.,8 хв.,8分钟,8 分鐘
OPTION_9_MINUTE,9 min,10 min,,9 min,9 мин.,9 хв.,9分钟,9 分鐘
OPTION_10_MINUTE,10 min,11 min,,10 min,10 мин.,10 хв.,10分钟,10 分鐘
OPTION_DISABLED,Disabled,Desactivado,,Deaktiviert,Отключено,Вимкнуто,禁用,關閉使用
OPTION_ENABLED,Enabled,Activado,,Aktiviert,Включено,Увімкнуто,启用,開啟使用
OPTION_NEVER,Never,Nunca,,Nie,Никогда,Ніколи,永不,從不
OPTION_NONE,None,Nada,,Keine,Отсутствует,Ніхто,无,沒有
OPTION_NO,No,No,,Nein,Нет,Ні,不,否
OPTION_YES,Yes,Sí,,Ja,Да,Так,是,是
PASSWORD_FIELD_LABEL,Password:,Contraeña:,,Passwort:,Пароль:,Пароль:,密码：,密碼：
PICKUP_NAME_HEALTH,Health,Salud,,Gesundheit,Здоровье,Здоров’я,健康,生命值
PLAYER_NAME_PRACTICE,Practice,Práctica,,Übung,Тренировка,Практика,练习,練習
PLAYER_PING,%sms,%sms,,%s ms,%sms,%sms,%sms,%sms
PLAYER_STATUS_CONNECTED,Connected.,Conectado.,,Verbunden.,Подключено.,Підключено.,已连接。,已連線
PLAYER_STATUS_CONNECTING,Connecting...,Conectando.,,Verbinden …,Подключение…,Підключення...,正在连接中......,正在連線…
PLAYER_STATUS_READY,READY!,¡Listo!,,BEREIT!,ГОТОВ!,ГОТОВИЙ!,预备！,準備！
POINTS_TO_WIN_FIELD_LABEL,Points to win,Puntos para ganar,,Punkte zum Sieg,Очки для победы,Очки для перемоги,获胜所需积分,得分以贏得勝利
SESSION_SETUP_TAB_CREATE_ACCOUNT,Create account,Crear cuenta,,Konto erstellen,Создать аккаунт,Створити акаунт,创建账户,建立帳號
SESSION_SETUP_TAB_FORGOT_PASSWORD,Forgot password?,¿Olvidaste la contraseña?,,Passwort vergessen?,Забыл пароль?,Забули пароль?,忘记密码了？,忘記密碼？
SESSION_SETUP_TAB_LOGIN,Login,Acceder,,Anmeldung,Войти,Логін,登录,登入
SESSION_SETUP_TAB_STEAM,Steam,Steam,,Steam,Steam,Steam,Steam,Steam
SESSION_SETUP_TAB_STEAM_MESSAGE,"If you already have a SnopekGames account, use the ""Login"" tab and it'll link your Steam account for the future. Otherwise, you'll end up with two accounts.","Si ya tienes una cuenta de SnopekGames, utiliza la pestaña ""Acceder"" y se vinculará tu cuenta de Steam para el futuro. De lo contrario, acabarás teniendo dos cuentas.",,"Solltest du bereits ein SnopekGames-Konto haben, gehe auf die Registerkarte „Anmelden“, um dein Steam-Konto für die Zukunft zu verknüpfen. Andernfalls hast du am Ende zwei Konten.","Если у тебя уже есть аккаунт SnopekGames, используй вкладку «Вход», и она свяжет твой аккаунт Steam. В противном случае у тебя будет два аккаунта.","Якщо у тебе вже є акаунт SnopekGames, скористайся вкладкою ""Увійти"", і вона зв'яже твій акаунт Steam на майбутнє. В іншому випадку ти отримаєш два акаунти.",如果你已经有一个SnopekGames账户，请使用“登录”选项卡，它将连接您的Steam账户以备将来使用。否则，您将拥有两个账户。,如果你已經擁有 SnopekGames 的帳號，請使用「登入」鍵，以後都會連結到你的 Steam 帳號。否則，你最後會變成有兩個帳號。
SETTING_ART_STYLE,Art style,Estilo artístico,,Kunststil,Стиль рисунков,Художній стиль,艺术风格,藝術風格
SETTING_CONTROL_SCHEME,Control scheme,Esquema de control,,Kontrollschema,Схема управления,Схема управління,控制方案,控制系統
SETTING_DETAILED_LOGGING,Detailed logging,Acceso detallado,,Detaillierte Aufzeichnung,Подробный журнал,Детальний журнал,详细日志记录,詳細的日誌紀錄
SETTING_FULL_SCREEN,Full screen,Pantalla completa,,Vollbildschirm,На полный экран,Повноекранний режим,全屏,全螢幕
SETTING_GAMEPAD_DEVICE,Gamepad device,Dispositivo Gamepad,,Gamepad-Gerät,Геймпад,Пристрій геймпада,游戏手柄设备,遊戲把手裝置
SETTING_LANGUAGE,Language,Idioma,,Sprache,Язык,Мова,语言,語言
SETTING_MUSIC,Music,Música,,Musik,Музыка,Музика,音乐,音樂
SETTING_NETWORK_RELAY,Network relay,Relé de red,,Netzwerk-Relais,Сетевая ретрансляция,Мережеве реле,网络中继,網路中繼
SETTING_SCREEN_SHAKE,Screen shake,Sacudida de pantalla,,Verwackeln des Bildschirms,Дрожание экрана,Струс екрану,屏幕抖动,畫面晃動
SETTING_SOUND,Sound,Sonido,,Ton,Звук,Звук,声音,音效
SETTING_TANK_ENGINE_SOUNDS,Tank engine sounds,Sonidos del motor del tanque,,Geräusche von Panzermotoren,Звуки танкового двигателя,Звуки двигуна танка,坦克引擎音效,坦克引擎音效
SETTINGS_TITLE,Settings,Ajustes,,Einstellungen,Настройки,Налаштування,设置,設定
TEAMS_FIELD_LABEL,Teams,Equipos,,Teams,Команды,Команди,战队,團隊
TIMELIMIT_FIELD_LABEL,Timelimit,Limite de tiempo,,Zeitlimit,Лимит времени,Ліміт часу,时间限制,時間限制
TITLE_PRESS_ANY_KEY,Press any key (or click) to start,Presiona cualquier tecla (o click) para empezar,,"Drücke eine beliebige Taste (oder klicke), um zu beginnen","Нажми любую клавишу (или кликни), чтобы начать","Натисни будь-яку клавішу (або клацни), щоб почати",按任意键（或单击）开始,按住任何鍵（或點擊）來開始
USERNAME_FIELD_LABEL,Username:,Nombre de usuario:,,Benutzername:,Имя пользователя:,Ім'я користувача:,用户名：,使用者名稱：
WEAPON_FIELD_LABEL,Weapon,Arma,,Waffe,Оружие,Зброя,武器,武器
WEAPON_NAME_FOOTBALL,Football,Fútbol,,Fußball,Футбол,Футбол,足球,橄欖球
WEAPON_NAME_NORMAL,Normal,Normal,,Normal,Обычное,Нормальна,正常,正常
WEAPON_NAME_RAILGUN,Railgun,Cañón de riel,,Railgun,Рейлган,Рельсотрон,轨道炮,磁軌砲
WEAPON_NAME_SPREAD,Spread,Arma de fuego,,Spread,Спред,Поширення,散射,散射槍
WEAPON_NAME_TRACER,Tracer,Rastreador,,Tracer,Трейсер,Трасуючий снаряд,追踪,曳光彈
WEAPON_TIMEOUT_FIELD_LABEL,Weapons last,Últimas armas,,Waffen halten,Оружие доступно,Остання зброя,仅剩的武器,武器延續
